version,filename,header,obj,endobj,stream,endstream,xref,trailer,startxref,/Page,/Encrypt,/ObjStm,/JS,/JavaScript,/AA,/OpenAction,/AcroForm,/JBIG2Decode,/RichMedia,/Launch,/EmbeddedFile,/XFA,/Colors > 2^24,/JavaScript_hexcode_count,/RichMedia_hexcode_count,/EmbeddedFile_hexcode_count,/ObjStm_hexcode_count,/Encrypt_hexcode_count,/OpenAction_hexcode_count,/Page_hexcode_count,/JS_hexcode_count,/AcroForm_hexcode_count,/XFA_hexcode_count,/Launch_hexcode_count,/JBIG2Decode_hexcode_count,/AA_hexcode_count,Malware
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_15df349d096d03831af094c77917b8fb_487425,%PDF-1.6,13,13,3,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_16f2f3dd42c6cb190c1350ef8ad49f68_504418,%PDF-1.7,44,44,15,15,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_17ffc26be8558151c8164a328f9ec9f7_127849,%PDF-1.4,26,26,8,8,1,1,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_19e26d798c0a121a5f587fabc61a0f5a_545894,%PDF-1.7,10,10,3,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_23b13194a2aed0a9fc5a45b9acc376f1_526773,%PDF-1.4,8,8,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_24e87fbe72c845dd406d4510db6a29da_1318296,%PDF-1.7,18,18,6,6,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_32ab80fb58f23607b4876cecdd68cb6a_101976,%PDF-1.7,44,44,13,12,1,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_32fb1fd3dc7e5cc8c2b036f147aad02b_134413,%PDF-1.4,231,231,213,213,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_33e373fe2feaced9627786210b95bffa_10235,%PDF-1.4,26,26,17,17,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_35ca0c6b766a99cff081b0005518a7b9_414217,%PDF-1.4,43,43,16,16,1,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
